index,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,img_url
0,AB de Villiers,South Africa,74,1672,11,1277,0,10,11,5,26.53968254,115.2388609,10,398,2,0,3,3,0,49.75,26,535,4,0,3,4,3,24.31818182,48,1137,7,0,7,7,2,27.73170732,https://i.ibb.co/y6XhJVN/ab.jpg
1,Shahid Afridi,Pakistan,88,1397,12,959,0,4,8,8,18.38157895,134.7755875,10,141,0,0,0,1,1,14.1,3,21,1,0,0,0,0,10.5,85,1376,11,0,4,8,8,18.59459459,https://i.ibb.co/Z8NHkry/afridi.jpg
2,HM Amla,South Africa,44,1277,10,991,0,8,11,2,37.55882353,111.5514254,10,331,4,0,4,0,1,55.16666667,14,373,3,0,2,3,0,33.90909091,30,904,7,0,6,8,2,39.30434783,https://i.ibb.co/PctkPVx/amla.jpg
3,R Ashwin,India,11,123,5,120,0,0,1,0,20.5,119.0076394,10,119,5,0,0,1,0,23.8,6,75,2,0,0,1,0,18.75,5,48,3,0,0,0,0,24,https://i.ibb.co/qn4F7YX/ashwin.jpg
4,JM Bairstow,England,45,1050,9,771,0,6,8,3,29.16666667,117.9851127,10,279,3,0,2,1,0,39.85714286,17,343,2,0,2,2,2,22.86666667,28,707,7,0,4,6,1,33.66666667,https://i.ibb.co/Xb0Ljg2/bairstow.jpg
5,IG Butler,New Zealand,5,5,3,11,0,0,0,1,2.5,58.33333333,5,5,3,0,0,0,1,2.5,1,1,1,0,0,0,0,0,4,4,2,0,0,0,1,2,https://i.ibb.co/sKBs2sD/butler.jpg
6,MS Dhoni,India,84,1617,45,1332,0,2,16,2,41.46153846,129.9301416,10,253,4,0,1,3,0,42.16666667,30,670,15,0,1,8,0,44.66666667,54,947,30,0,1,8,2,39.45833333,https://i.ibb.co/P5XjJF1/dhoni.jpg
7,HH Gibbs,South Africa,23,400,1,333,0,3,2,4,18.18181818,92.89097604,10,175,0,0,1,2,0,17.5,11,239,1,0,2,0,2,23.9,12,161,0,0,1,2,2,13.41666667,https://i.ibb.co/k3twx49/gibbs.jpg
8,AD Hales,England,59,1644,8,1228,1,8,14,4,32.23529412,115.3225579,10,236,1,0,1,3,0,26.22222222,21,770,5,0,5,8,1,48.125,38,874,3,1,3,6,3,24.97142857,https://i.ibb.co/LP13GcM/hales.jpg
9,ML Hayden,Australia,9,308,3,218,0,4,0,0,51.33333333,143.0753512,9,308,3,0,4,0,0,51.33333333,1,20,0,0,0,0,0,20,8,288,3,0,4,0,0,57.6,https://i.ibb.co/fMKwvTp/hayden.jpg
10,RA Jadeja,India,22,217,9,200,0,0,1,2,16.69230769,104.0049867,10,127,6,0,0,1,1,31.75,8,49,1,0,0,0,2,7,14,168,8,0,0,1,0,28,https://i.ibb.co/NTnr8Q7/jadeja.jpg
11,JH Kallis,South Africa,23,666,5,564,0,5,5,0,37,113.0641379,10,240,3,0,2,1,0,34.28571429,4,92,0,0,1,0,0,23,19,574,5,0,4,5,0,41,https://i.ibb.co/2h0nrJs/kallis.jpg
12,KD Karthik,India,25,399,13,286,0,0,6,2,33.25,149.0662175,10,161,6,0,0,3,1,40.25,6,67,5,0,0,1,0,67,19,332,8,0,0,5,2,30.18181818,https://i.ibb.co/MhwN65z/karthik.jpg
13,EJG Morgan,England,96,2311,21,1713,0,14,16,3,30.81333333,118.2598582,10,173,1,0,1,0,0,19.22222222,29,629,5,0,4,4,1,26.20833333,67,1682,16,0,10,12,2,32.98039216,https://i.ibb.co/DgtVC1T/morgan.jpg
14,RR Pant,India,29,512,5,428,0,2,4,3,21.33333333,96.4474542,10,187,2,0,0,2,1,23.375,18,283,3,0,1,2,1,18.86666667,11,229,2,0,1,2,2,25.44444444,https://i.ibb.co/55KctkD/pant.jpg
15,KP Pietersen,England,36,1176,5,856,0,7,12,1,37.93548387,132.1913712,10,354,2,0,2,5,0,44.25,12,356,1,0,1,6,1,32.36363636,24,820,4,0,6,6,0,41,https://i.ibb.co/dPv0bZy/pietersen.jpg
16,KL Rahul,India,45,1557,6,1136,2,12,6,4,39.92307692,115.0559456,10,207,0,0,1,3,3,20.7,23,764,2,0,8,2,2,36.38095238,22,793,4,2,4,4,2,44.05555556,https://i.ibb.co/tLb86qZ/rahul.jpg
17,SK Raina,India,65,1605,10,1259,1,5,18,3,29.18181818,111.2821659,10,283,0,0,1,3,1,28.3,20,418,2,0,1,5,1,23.22222222,45,1187,8,1,4,13,2,32.08108108,https://i.ibb.co/sP0t1CK/raina.jpg
18,JJ Roy,England,43,1034,2,753,0,5,9,6,25.2195122,112.7645357,10,221,0,0,0,4,2,22.1,13,322,2,0,2,2,2,29.27272727,30,712,0,0,3,7,4,23.73333333,https://i.ibb.co/wNgXGXh/roy.jpg
19,SV Samson,India,7,83,0,72,0,0,0,0,11.85714286,136.765873,7,83,0,0,0,0,0,11.85714286,1,6,0,0,0,0,0,6,6,77,0,0,0,0,0,12.83333333,https://i.ibb.co/Pw0SKY1/samson.jpg
20,KC Sangakkara,Sri Lanka,53,1382,10,1193,0,8,12,2,32.13953488,104.8475559,10,204,2,0,1,2,1,25.5,17,489,4,0,2,5,0,37.61538462,36,893,6,0,6,7,2,29.76666667,https://i.ibb.co/Brz5r6d/sangakara.jpg
21,SR Tendulkar,India,1,10,0,13,0,0,0,0,10,76.92307692,1,10,0,0,0,0,0,10,0,31,1,0,0,0,0,13,1,10,0,0,0,0,0,10,https://i.ibb.co/2k4FP3z/tendulkar.jpg
22,RV Uthappa,India,12,249,2,215,0,1,4,1,24.9,91.59978873,10,199,2,0,0,4,0,24.875,2,36,0,0,0,1,0,18,10,213,2,0,1,3,1,26.625,https://i.ibb.co/R0tXTHC/uthappa.jpg
23,Yuvraj Singh,India,51,1177,10,906,0,8,7,1,28.70731707,111.6641095,10,169,2,0,0,1,0,21.125,18,437,3,0,3,3,1,29.13333333,33,740,7,0,5,4,0,28.46153846,https://i.ibb.co/KG0pJYv/yuvraj.jpg
269,ADS Fletcher,West Indies,43,823,7,768,0,6,4,6,22.86111111,81.90059761,10,174,2,0,1,2,1,21.75,15,223,2,0,2,0,2,17.15384615,28,600,5,0,4,4,4,26.08695652,https://i.ibb.co/LhYtvG6/ADS-Fletcher.jpg
45,BB McCullum,New Zealand,70,2140,13,1623,2,13,13,3,37.54385965,119.2739384,10,326,2,0,3,2,1,40.75,23,787,6,1,6,4,1,46.29411765,47,1353,7,1,7,9,2,33.825,https://i.ibb.co/YXn74qY/BB-Mc-Cullum.jpg
111,TM Dilshan,Sri Lanka,76,1830,13,1552,1,13,12,9,29.04761905,94.2037302,10,270,2,0,2,1,0,33.75,24,702,4,1,7,2,2,35.1,52,1128,9,0,6,10,7,26.23255814,https://i.ibb.co/8MzrMWC/dilshan.jpg
