Unnamed: 0,ID,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,total_recent_ball_faced,form_strike_rate,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,total_home_ball_faced,home_strike_rate,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,total_away_ball_faced,away_strike_rate,overall_Percentage,recent_Percentage,home_Percentage,away_Percentage
0,1,ME Trescothick,England,3,166,0,135,0,2,1,0,55.33333333,123.71266,3,166,0,0,2,1,0,55.33333333,0,0,3,166,0,0,2,1,0,55.33333333,0,0,0,36.5,1,0,0,0,0,13,0,0,17.4,17.4,19.7,0
1,2,IR Bell,England,8,188,1,166,0,1,1,0,26.85714286,100.7270497,8,188,1,0,1,1,0,26.85714286,0,0,3,87,1,0,1,0,0,43.5,0,0,5,101,0,0,0,1,0,20.2,0,0,20.6,20.6,27.1,18.8
2,3,KP Pietersen,England,36,1176,5,856,0,7,12,1,37.93548387,132.1913712,10,354,2,0,2,5,0,44.25,0,0,12,356,1,0,1,6,1,32.36363636,0,0,24,820,4,0,6,6,0,41,0,0,41.8,26.2,27.5,39.6
3,4,AJ Strauss,England,4,73,0,68,0,0,1,1,18.25,83.49399961,4,73,0,0,0,1,1,18.25,0,0,3,51,0,0,0,1,1,17,0,0,1,22,0,0,0,0,0,22,0,0,16.3,16.3,18.5,17
4,5,PD Collingwood,England,33,583,3,467,0,3,2,3,19.43333333,108.1106755,10,102,1,0,0,0,1,11.33333333,0,0,12,247,0,0,1,1,0,20.58333333,0,0,21,336,3,0,2,1,3,18.66666667,0,0,30.2,16.2,21.6,31.2
5,6,JWM Dalrymple,England,3,60,0,60,0,0,1,0,20,84.48275862,3,60,0,0,0,1,0,20,0,0,2,28,0,0,0,0,0,14,0,0,1,32,0,0,0,1,0,32,0,0,16.1,16.1,16.5,18.1
6,7,MH Yardy,England,7,96,5,72,0,0,1,2,48,99.11739055,7,96,5,0,0,1,2,48,0,0,4,88,4,0,0,1,0,0,0,0,3,8,1,0,0,0,2,4,0,0,53.3,53.3,1.6,25.5
7,8,CMW Read,England,1,13,0,11,0,0,0,0,13,118.1818182,1,13,0,0,0,0,0,13,0,0,1,13,0,0,0,0,0,13,0,0,0,36.5,1,0,0,0,0,13,0,0,14.6,14.6,16.5,0
8,9,SI Mahmood,England,2,1,2,2,0,0,0,1,0,50,2,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
9,10,Shoaib Malik,Pakistan,104,2311,33,1896,0,8,23,2,32.54929577,119.8920967,10,214,2,0,1,1,0,26.75,0,0,10,306,4,0,2,4,0,51,0,0,94,2005,29,0,6,19,2,30.84615385,0,0,76.1,22.6,36.7,77.5
10,11,Mohammad Hafeez,Pakistan,93,2298,14,1940,0,14,17,7,29.08860759,102.261581,10,502,5,0,5,3,1,100.4,0,0,4,132,1,0,1,1,0,44,0,0,89,2166,13,0,13,16,7,28.5,0,0,74,37.2,25.2,82.8
11,12,Younis Khan,Pakistan,21,428,4,347,0,2,5,2,25.17647059,94.76337298,10,182,4,0,1,2,1,30.33333333,0,0,1,47,0,0,0,1,0,47,0,0,20,381,4,0,2,4,2,23.8125,0,0,31.8,31.1,17.2,36.5
12,13,Shahid Afridi,Pakistan,88,1397,12,959,0,4,8,8,18.38157895,134.7755875,10,141,0,0,0,1,1,14.1,0,0,3,21,1,0,0,0,0,10.5,0,0,85,1376,11,0,4,8,8,18.59459459,0,0,48.3,16.8,24.7,55.5
13,14,Mohammad Yousuf,Pakistan,3,50,0,44,0,0,0,0,16.66666667,103.7037037,3,50,0,0,0,0,0,16.66666667,0,0,0,31,1,0,0,0,0,13,0,0,3,50,0,0,0,0,0,16.66666667,0,0,14.6,14.6,0,17
14,15,Inzamam-ul-Haq,Pakistan,1,11,1,16,0,0,0,0,0,68.75,1,11,1,0,0,0,0,0,0,0,0,31,1,0,0,0,0,13,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0
15,16,Abdul Razzaq,Pakistan,28,383,11,339,0,0,2,2,22.52941176,107.6591485,10,125,2,0,0,1,1,15.625,0,0,0,31,1,0,0,0,0,13,0,0,28,383,11,0,0,2,2,22.52941176,0,0,28.6,20.7,0,33.3
16,17,AC Gilchrist,Australia,13,272,1,203,0,0,4,0,22.66666667,114.9700465,10,255,1,0,0,4,0,28.33333333,0,0,3,74,0,0,0,1,0,24.66666667,0,0,10,198,1,0,0,3,0,22,0,0,21.8,21.1,17.9,24.4
17,18,MJ Clarke,Australia,28,488,6,490,0,1,5,3,22.18181818,87.19889369,10,210,1,0,1,1,0,23.33333333,0,0,6,135,1,0,0,3,0,27,0,0,22,353,5,0,1,2,3,20.76470588,0,0,31.1,20.7,24.5,31.1
18,19,A Symonds,Australia,11,337,5,204,0,2,4,2,56.16666667,130.6167892,10,305,5,0,2,3,2,61,0,0,2,124,2,0,1,1,0,0,0,0,9,213,3,0,1,3,2,35.5,0,0,34.9,36.3,1.7,33.2
