,ID,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,thirties,fifties,zeros,overall_average,strike_rate,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
0,1,ME Trescothick,England,3,166,0,135,0,1,2,0,55.33333333,123.71266,3,0,166,0,55.33333333,0,0,0,1,2,0,3,166,0,1,2,0,0,55.33333333,0,0,,,,,,,,,
1,2,IR Bell,England,8,188,1,166,0,1,1,0,26.85714286,100.7270497,3,5,87,1,43.5,0,0,0,0,1,0,8,188,0,1,1,0,1,26.85714286,0,0,101,0,20.2,0,0,0,1,0,0
2,3,KP Pietersen,England,36,1176,5,856,0,12,7,1,37.93548387,132.1913712,12,24,356,1,32.36363636,0,0,1,6,1,0,10,354,0,5,2,0,2,44.25,0,0,820,4,41,0,0,0,6,6,0
3,4,AJ Strauss,England,4,73,0,68,0,1,0,1,18.25,83.49399961,3,1,51,0,17,0,0,1,1,0,0,4,73,1,1,0,0,0,18.25,0,0,22,0,22,0,0,0,0,0,0
4,5,PD Collingwood,England,33,583,3,467,0,2,3,3,19.43333333,108.1106755,12,21,247,0,20.58333333,0,0,0,1,1,0,10,102,1,0,0,0,1,11.33333333,0,0,336,3,18.66666667,0,0,3,1,2,0
5,6,JWM Dalrymple,England,3,60,0,60,0,1,0,0,20,84.48275862,2,1,28,0,14,0,0,0,0,0,0,3,60,0,1,0,0,0,20,0,0,32,0,32,0,0,0,1,0,0
6,7,MH Yardy,England,7,96,5,72,0,1,0,2,48,99.11739055,4,3,88,4,0,0,0,0,1,0,0,7,96,2,1,0,0,5,48,0,0,8,1,4,0,0,2,0,0,0
7,8,CMW Read,England,1,13,0,11,0,0,0,0,13,118.1818182,1,0,13,0,13,0,0,0,0,0,0,1,13,0,0,0,0,0,13,0,0,,,,,,,,,
8,9,SI Mahmood,England,2,1,2,2,0,0,0,1,0,50,1,1,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
9,10,Shoaib Malik,Pakistan,104,2311,33,1896,0,23,8,2,32.54929577,119.8920967,10,94,306,4,51,0,0,0,4,2,0,10,214,0,1,1,0,2,26.75,0,0,2005,29,30.84615385,0,0,2,19,6,0
10,11,Mohammad Hafeez,Pakistan,93,2298,14,1940,0,17,14,7,29.08860759,102.261581,4,89,132,1,44,0,0,0,1,1,0,10,502,1,3,5,0,5,100.4,0,0,2166,13,28.5,0,0,7,16,13,0
11,12,Younis Khan,Pakistan,21,428,4,347,0,5,2,2,25.17647059,94.76337298,1,20,47,0,47,0,0,0,1,0,0,10,182,1,2,1,0,4,30.33333333,0,0,381,4,23.8125,0,0,2,4,2,0
12,13,Shahid Afridi,Pakistan,88,1397,12,959,0,8,4,8,18.38157895,134.7755875,3,85,21,1,10.5,0,0,0,0,0,0,10,141,1,1,0,0,0,14.1,0,0,1376,11,18.59459459,0,0,8,8,4,0
13,14,Mohammad Yousuf,Pakistan,3,50,0,44,0,0,0,0,16.66666667,103.7037037,0,3,,,,,,,,,,3,50,0,0,0,0,0,16.66666667,0,0,50,0,16.66666667,0,0,0,0,0,0
14,15,Inzamam-ul-Haq,Pakistan,1,11,1,16,0,0,0,0,0,68.75,0,1,,,,,,,,,,1,11,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0
15,16,Abdul Razzaq,Pakistan,28,383,11,339,0,2,0,2,22.52941176,107.6591485,0,28,,,,,,,,,,10,125,1,1,0,0,2,15.625,0,0,383,11,22.52941176,0,0,2,2,0,0
16,17,AC Gilchrist,Australia,13,272,1,203,0,4,0,0,22.66666667,114.9700465,3,10,74,0,24.66666667,0,0,0,1,0,0,10,255,0,4,0,0,1,28.33333333,0,0,198,1,22,0,0,0,3,0,0
17,18,MJ Clarke,Australia,28,488,6,490,0,5,1,3,22.18181818,87.19889369,6,22,135,1,27,0,0,0,3,0,0,10,210,0,1,1,0,1,23.33333333,0,0,353,5,20.76470588,0,0,3,2,1,0
18,19,A Symonds,Australia,11,337,5,204,0,4,2,2,56.16666667,130.6167892,2,9,124,2,0,0,0,0,1,1,0,10,305,2,3,2,0,5,61,0,0,213,3,35.5,0,0,2,3,1,0
19,20,RT Ponting,Australia,16,401,3,311,0,2,2,2,30.84615385,93.7702862,2,14,68,0,34,0,0,0,1,0,0,10,215,1,1,1,0,2,26.875,0,0,333,3,30.27272727,0,0,2,1,2,0
20,21,DR Martyn,Australia,4,120,0,77,0,0,1,0,30,127.9001883,0,4,,,,,,,,,,4,120,0,0,1,0,0,30,0,0,120,0,30,0,0,0,0,1,0
21,22,SM Katich,Australia,2,69,0,48,0,2,0,0,34.5,144.7826087,0,2,,,,,,,,,,2,69,0,2,0,0,0,34.5,0,0,69,0,34.5,0,0,0,2,0,0
22,23,MEK Hussey,Australia,30,721,11,542,0,5,4,1,37.94736842,122.6701368,3,27,47,0,15.66666667,0,0,0,0,0,0,10,264,0,1,2,0,4,44,0,0,674,11,42.125,0,0,1,5,4,0
23,24,BB McCullum,New Zealand,70,2140,13,1623,2,13,13,3,37.54385965,119.2739384,23,47,787,6,46.29411765,0,0,1,4,6,1,10,326,1,2,3,0,2,40.75,0,0,1353,7,33.825,0,0,2,9,7,1
24,25,SP Fleming,New Zealand,5,110,0,87,0,2,0,0,22,120.3479853,4,1,79,0,19.75,0,0,0,1,0,0,5,110,0,2,0,0,0,22,0,0,31,0,31,0,0,0,1,0,0
25,26,MS Sinclair,New Zealand,2,0,0,5,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,27,SB Styris,New Zealand,29,578,3,493,0,7,1,0,22.23076923,109.666148,8,21,206,0,25.75,0,0,0,2,1,0,10,225,0,4,0,0,0,22.5,0,0,372,3,20.66666667,0,0,0,5,0,0
27,28,CD McMillan,New Zealand,7,187,2,119,0,2,1,0,37.4,139.8197241,1,6,9,0,9,0,0,0,0,0,0,7,187,0,2,1,0,2,37.4,0,0,178,2,44.5,0,0,0,2,1,0
28,29,CL Cairns,New Zealand,2,3,0,14,0,0,0,0,1.5,22.5,2,0,3,0,1.5,0,0,0,0,0,0,2,3,0,0,0,0,0,1.5,0,0,,,,,,,,,
29,30,HJH Marshall,New Zealand,3,12,0,14,0,0,0,0,4,79.76190476,2,1,9,0,4.5,0,0,0,0,0,0,3,12,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,0,0
30,31,AR Adams,New Zealand,2,13,1,12,0,0,0,0,13,110,2,0,13,1,13,0,0,0,0,0,0,2,13,0,0,0,0,1,13,0,0,,,,,,,,,
31,32,JW Wilson,New Zealand,1,18,0,14,0,0,0,0,18,128.5714286,1,0,18,0,18,0,0,0,0,0,0,1,18,0,0,0,0,0,18,0,0,,,,,,,,,
32,33,DR Tuffey,New Zealand,2,5,1,5,0,0,0,1,5,125,2,0,5,1,5,0,0,1,0,0,0,2,5,1,0,0,0,1,5,0,0,,,,,,,,,
33,34,KD Mills,New Zealand,19,137,8,125,0,2,0,5,12.45454545,83.40802764,7,12,64,2,12.8,0,0,2,1,0,0,10,31,3,0,0,0,5,6.2,0,0,73,6,12.16666667,0,0,3,1,0,0
34,35,JEC Franklin,New Zealand,31,463,9,398,0,3,2,2,21.04545455,110.3680078,17,14,302,5,25.16666667,0,0,0,2,1,0,10,119,2,0,1,0,2,14.875,0,0,161,4,16.1,0,0,2,1,1,0
35,36,LRPL Taylor,New Zealand,93,1909,21,1620,0,14,7,6,26.51388889,110.090541,42,51,881,10,27.53125,0,0,3,8,3,0,10,238,1,0,2,0,1,26.44444444,0,0,1028,11,25.7,0,0,3,6,4,0
36,37,NJ Astle,New Zealand,4,74,1,69,0,1,0,0,24.66666667,101.540014,3,1,64,1,32,0,0,0,1,0,0,4,74,0,1,0,0,1,24.66666667,0,0,10,0,10,0,0,0,0,0,0
37,38,JAH Marshall,New Zealand,2,14,0,15,0,0,0,0,7,71.59090909,1,1,1,0,1,0,0,0,0,0,0,2,14,0,0,0,0,0,7,0,0,13,0,13,0,0,0,0,0,0
38,39,PD McGlashan,New Zealand,9,61,1,65,0,0,0,0,7.625,92.31481481,5,4,45,1,11.25,0,0,0,0,0,0,9,61,0,0,0,0,1,7.625,0,0,16,0,4,0,0,0,0,0,0
39,40,SE Bond,New Zealand,8,21,3,21,0,0,0,2,4.2,92.26190476,3,5,9,2,9,0,0,1,0,0,0,8,21,2,0,0,0,3,4.2,0,0,12,1,3,0,0,1,0,0,0
40,41,MR Gillespie,New Zealand,6,21,3,32,0,0,0,1,7,66.46825397,1,5,3,1,0,0,0,0,0,0,0,6,21,1,0,0,0,3,7,0,0,18,2,6,0,0,1,0,0,0
41,42,WU Tharanga,Sri Lanka,26,407,1,348,0,4,0,3,16.28,100.4247763,8,18,133,1,19,0,0,0,1,0,0,10,191,0,2,0,0,1,21.22222222,0,0,274,0,15.22222222,0,0,3,3,0,0
42,43,ST Jayasuriya,Sri Lanka,28,615,2,495,0,4,4,4,23.65384615,95.51849995,4,24,64,0,16,0,0,0,1,0,0,10,88,1,1,0,0,1,9.777777778,0,0,551,2,25.04545455,0,0,4,3,4,0
43,44,DPMD Jayawardene,Sri Lanka,52,1458,11,1141,1,9,9,2,35.56097561,108.5778692,17,35,466,3,33.28571429,0,0,0,6,2,0,10,269,0,1,2,0,2,33.625,0,0,992,8,36.74074074,0,0,2,3,7,1
44,45,JR Hopes,Australia,7,105,2,100,0,1,0,0,21,124.8484848,2,5,29,1,29,0,0,0,0,0,0,7,105,0,1,0,0,2,21,0,0,76,1,19,0,0,0,1,0,0
45,46,GC Smith,South Africa,32,911,1,752,0,9,4,1,29.38709677,109.8972935,16,16,528,1,35.2,0,0,1,3,4,0,10,263,1,3,1,0,0,26.3,0,0,383,0,23.9375,0,0,0,6,0,0
46,47,HH Dippenaar,South Africa,1,1,0,5,0,0,0,0,1,20,0,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
47,48,HH Gibbs,South Africa,23,400,1,333,0,2,3,4,18.18181818,92.89097604,11,12,239,1,23.9,0,0,2,0,2,0,10,175,0,2,1,0,0,17.5,0,0,161,0,13.41666667,0,0,2,2,1,0
